Event.Id,Event.Date,Location,Make,Model,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Broad.phase.of.flight,Aircraft.Category,Number.of.Engines
20171128X94825,2017-11-18,"Emerald Aerodrome, Australia",BELL HELICOPTER CO,206B,Turbo Shaft,0.0,0.0,NULL,Helicopter,1.0
20171118X15936,2017-11-19,"Casa Grande, AZ",JOHN ROSCOE,AUTOGYRO CAVALON,Reciprocating,0.0,2.0,NULL,Gyrocraft,1.0
20171118X22836,2017-11-19,"Chico, CA",CESSNA,172M,Reciprocating,0.0,2.0,NULL,Airplane,1.0
20171119X05046,2017-11-19,"Clearwater, FL",ROCKWELL INTERNATIONAL,112A,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171119X14748,2017-11-19,"San Jose, CA",CESSNA,172P,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171119X20241,2017-11-19,"Rosamond, CA",BOEING,A75N1(PT17),Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171122X11536,2017-11-19,"Point Mugu, CA",QUICKSILVER,MXL SPORT,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20180109X22437,2017-11-19,"Los Angeles, CA",BOEING,737 7H4,Turbo Fan,0.0,0.0,NULL,Airplane,2.0
20171119X32831,2017-11-20,"Stuttgart, AR",BELL HELICOPTER TEXTRON CANADA,407,Turbo Shaft,3.0,0.0,NULL,Helicopter,1.0
20171120X25221,2017-11-20,"Tehachapi, CA",CESSNA,152,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171120X62921,2017-11-20,"Aurora, CO",ERCOUPE,415 CD,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171120X90940,2017-11-20,"Electra, TX",ROBINSON HELICOPTER,R22 BETA,Reciprocating,1.0,0.0,NULL,Helicopter,1.0
20171121X10001,2017-11-20,"San Diego, CA",CESSNA,172N,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171124X23515,2017-11-21,"El Dorado, MO",BELLANCA,8KCAB,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171122X32450,2017-11-22,"Woodlawn, VA",HUGHES,300,Reciprocating,0.0,0.0,NULL,Helicopter,1.0
20171123X23401,2017-11-22,"Presque Isle, ME",CESSNA,421,Reciprocating,0.0,2.0,NULL,Airplane,2.0
20171123X41716,2017-11-22,"Pittsford, VT",CESSNA,172G,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171127X02501,2017-11-22,"Dickinson, ND",PIPER,PA 12,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171128X05050,2017-11-22,"Bolingbrook, IL",CESSNA,182S,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171218X34421,2017-11-22,"Maple Lake, MN",CESSNA,172N,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171123X70738,2017-11-23,"Starke, FL",MOONEY,M20C,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171125X85751,2017-11-23,"Overgaard, AZ",BUEHLMANN PETER,KITFOX MODEL 4 1200,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171127X32242,2017-11-23,"Caldwell, TX",LUSCOMBE,8,Reciprocating,0.0,2.0,NULL,Airplane,1.0
20171124X14339,2017-11-24,"NORTHAMPTON, MA",AVEKO SRO,VL-3C-1,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171125X90015,2017-11-24,"Moab, UT",KARPAYEV VLADYSLAV V,RV-9,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171125X91028,2017-11-25,"Willows, CA",DOSHIER WILBERT A,GT-500,Reciprocating,0.0,2.0,NULL,Airplane,1.0
20171127X10340,2017-11-25,"Ebensburg, PA",PIPER,PA 34-220T,Reciprocating,0.0,0.0,NULL,Airplane,2.0
20171127X13142,2017-11-25,"Odessa, FL",PIPER,PA-28,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171127X32648,2017-11-25,"Oloh, MS",CESSNA,172,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171127X95417,2017-11-25,"Clearwater, FL",PIPER,PA46,Turbo Prop,0.0,1.0,NULL,Airplane,1.0
20171126X04640,2017-11-26,"Tucson, AZ",MOONEY,M20,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171127X03747,2017-11-26,"Palmyra, WI",PIPER / LAUDEMAN,J3C 65,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171127X63140,2017-11-26,"Midland, TX",CESSNA,150F,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171211X54419,2017-11-26,"Daytona Beach, FL",CESSNA,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171127X61757,2017-11-27,"Black River Falls, WI",CESSNA,182,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171128X94938,2017-11-27,"Oro Valley, AZ",COLUMBIA AIRCRAFT MFG,LC41 550FG,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171129X11335,2017-11-27,"Louviers, CO",MOTLEY GARY W,ZENITH CH750 CRUZER,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171129X21403,2017-11-29,"Westminister, MD",AERO COMMANDER,112,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171201X14308,2017-11-29,"Atlanta, GA",BOEING,737-932ER,Turbo Fan,0.0,0.0,NULL,Airplane,2.0
20171201X35829,2017-11-29,"Bogota, Colombia",BOEING,757 224,Turbo Fan,0.0,0.0,NULL,Airplane,2.0
20171201X51708,2017-11-29,"New Orleans, LA",ROBINSON HELICOPTER COMPANY,R44,Reciprocating,0.0,0.0,NULL,Helicopter,1.0
20171220X74157,2017-11-29,"Nikolai, AK",PIPER,PA 18-125,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171201X80124,2017-11-30,"Truckee, CA",ROBINSON HELICOPTER COMPANY,R22,Reciprocating,0.0,0.0,NULL,Helicopter,1.0
20171201X94959,2017-11-30,"Bowie, MD",CESSNA,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171203X54335,2017-11-30,"Fullerton, CA",CESSNA,152,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171201X95313,2017-12-01,"Miami, FL",CESSNA,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171202X94738,2017-12-01,"Mount Airy, NC",TODD FOLEY,ZENITH 701,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171202X04340,2017-12-02,"Hernando, MS",Kevin Leue,Sparrow Hawk,Reciprocating,2.0,0.0,NULL,Gyrocraft,1.0
20171202X62630,2017-12-02,"Huntingdon, TN",CESSNA,172R,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171206X84125,2017-12-02,"Plato Center, IL",WEAVER DAVID A,PULSAR   912XP,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171214X23802,2017-12-02,"Park Rapids, MN",CESSNA,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171203X52324,2017-12-03,"Chino, CA",BOEING,A75N1(PT17),Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171203X55850,2017-12-03,"Frederick, MD",CESSNA,180,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171203X55953,2017-12-03,"Thomasville, GA",PIPER,PA34,Reciprocating,0.0,0.0,NULL,Airplane,2.0
20171204X10532,2017-12-03,"Ravenna, OH",PIPER,TITAN TORNADO II D,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171204X72456,2017-12-03,"Everett, WA",CESSNA,152,Reciprocating,0.0,2.0,NULL,Airplane,1.0
20171212X50255,2017-12-03,"Miami, FL",AIRBUS,A319 115,Turbo Fan,0.0,0.0,NULL,Airplane,2.0
20171205X42203,2017-12-04,"Hyannis, MA",CESSNA,402,Reciprocating,0.0,0.0,NULL,Airplane,2.0
20171206X31304,2017-12-04,"Rio Oso, CA",BEECH,A36,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171206X43704,2017-12-04,"Jeffersonville, IN",PIPER,PA 31-310,Reciprocating,0.0,0.0,NULL,Airplane,2.0
20171205X23358,2017-12-05,"Rockford, IL",BEECH,C90,Turbo Prop,0.0,2.0,NULL,Airplane,2.0
20171205X35855,2017-12-05,"Fort Pierce, FL",ROBINSON HELICOPTER,R44,Reciprocating,0.0,1.0,NULL,Helicopter,1.0
20171205X52428,2017-12-05,"Brewton, AL",PIPER,PA28,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171205X52647,2017-12-05,"Chesapeake, VA",NORTH AMERICAN,T 6,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171206X00953,2017-12-05,"Glendale, AZ",PIPER,PA 34-200T,Reciprocating,0.0,0.0,NULL,Airplane,2.0
20171211X60452,2017-12-05,"Cheboygan, MI",PIPER,PA 32,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171207X14956,2017-12-06,"Santa Rosa, AZ",EUROCOPTER,AS 350,Turbo Shaft,0.0,0.0,NULL,Helicopter,1.0
20171207X64827,2017-12-06,"Chesterfield, MO",RAYTHEON AIRCRAFT COMPANY,B36TC,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171220X52223,2017-12-06,"Fort Lauderdale, FL",AIRBUS,A321 231,Turbo Fan,0.0,1.0,NULL,Airplane,2.0
20171207X11110,2017-12-08,"St. Croix,",BEECH,58,Reciprocating,5.0,0.0,NULL,Airplane,2.0
20171208X31322,2017-12-08,"Spanish Fork, UT",BROCK STEINER,Sport Copter Vortex,Reciprocating,0.0,0.0,NULL,Gyrocraft,1.0
